"","X","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_completion_white_black","gap_completion_white_hisp","gap_completion_white_asian","gap_completion_white_aian","gap_completion_white_nhpi","gap_completion_white_2mor","gap_completion_white_nra","gap_completion_white_unkn","gap_earnings_high_low","gap_earnings_high_mid"
"90",90,"Cochise County Community College District",1,744,3140,NA,NA,NA,NA,NA,NA,NA,NA,NA,3839.5,4289,4000,30800,39500,47900,NA,NA,NA,NA,NA,NA,NA,NA,0.356993736951983,0.175365344467641
"91",91,"Empire Beauty School-Flagstaff",3,8056,6584,NA,NA,NA,NA,NA,NA,NA,NA,NA,7350,8028,8080,21600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,"Empire Beauty School-Chandler",3,8320,6356,NA,NA,NA,NA,NA,NA,NA,NA,NA,7350,8028,8080,21600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"Cortiva Institute-Tucson",3,7758,3265,NA,NA,NA,NA,NA,NA,NA,NA,NA,6333,6333,6333,22700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,"Avalon School of Cosmetology-Mesa",3,7516,3770,NA,NA,NA,NA,NA,NA,NA,NA,NA,8615,10555,10552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,"Eastern Arizona College",1,752,5555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"Embry-Riddle Aeronautical University-Prescott",2,26607,14781,0.5938,0,0.413,0.75,0.6667,NA,NA,0.8125,0.5484,12473,12478,15500,64900,65100,66600,0.5938,0.1808,-0.1562,-0.0729,NA,NA,-0.2187,0.0454,0.0255255255255255,0.0225225225225225
"97",97,"Frank Lloyd Wright School of Architecture",2,52798,38544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"Glendale Community College",1,1489,4684,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,4454,3500,34400,39000,42700,NA,NA,NA,NA,NA,NA,NA,NA,0.194379391100703,0.0866510538641686
"99",99,"Grand Canyon University",3,10550,1837,0.4545,0.1818,0.1429,NA,0.5,NA,NA,0.6,0.2245,9500,14102.5,15625,42600,49800,57000,0.2727,0.3116,NA,-0.0455,NA,NA,-0.1455,0.23,0.252631578947368,0.126315789473684
"100",100,"International Academy of Hair Design",3,9428,5705,NA,NA,NA,NA,NA,NA,NA,NA,NA,6333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"GateWay Community College",1,2394,5491,NA,NA,NA,NA,NA,NA,NA,NA,NA,5774.5,7969,7766,30400,41400,49100,NA,NA,NA,NA,NA,NA,NA,NA,0.380855397148676,0.156822810590631
"102",102,"Mesa Community College",1,1957,4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,4500,3500,37400,41800,46600,NA,NA,NA,NA,NA,NA,NA,NA,0.197424892703863,0.103004291845494
"103",103,"ITT Technical Institute-Tucson",3,19470,1722,0.375,0.25,0.2069,NA,1,NA,NA,NA,0.3333,12667,17014,17000,38200,46300,47200,0.125,0.1681,NA,-0.625,NA,NA,NA,0.0417,0.190677966101695,0.0190677966101695
"104",104,"ITT Technical Institute-Tempe",3,19621,1925,0.2857,0.25,0.4348,0,0.1875,NA,NA,NA,NA,12667,17014,17000,38200,46300,47200,0.0357,-0.1491,0.2857,0.0982,NA,NA,NA,NA,0.190677966101695,0.0190677966101695
"105",105,"Mohave Community College",1,1568,3613,NA,NA,NA,NA,NA,NA,NA,NA,NA,8574,7609,4462,27100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",3,9773,3365,NA,NA,NA,NA,NA,NA,NA,NA,NA,16063,15188,12000,32900,39600,40200,NA,NA,NA,NA,NA,NA,NA,NA,0.181592039800995,0.0149253731343284
"107",107,"Dine College",1,157,9532,NA,0,0,NA,0.1497,NA,NA,NA,NA,NA,NA,NA,21800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,"Northern Arizona University",1,7331,7510,0.5404,0.4237,0.4536,0.4747,0.3361,0.4545,0.5833,0.5676,0.4375,13558,13356,13750,41300,43000,45800,0.1167,0.0868,0.0657,0.2043,0.0859,-0.0429,-0.0272,0.1029,0.0982532751091703,0.0611353711790393
"109",109,"Northland Pioneer College",1,1245,6303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",110,"Ottawa University-Phoenix",2,6371,1771,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,13770,13750,40300,43400,50000,NA,NA,NA,NA,NA,NA,NA,NA,0.194,0.132
"111",111,"Phoenix College",1,1488,5044,NA,NA,NA,NA,NA,NA,NA,NA,NA,5755,7660,5500,33000,38900,42700,NA,NA,NA,NA,NA,NA,NA,NA,0.227166276346604,0.0889929742388759
"112",112,"Cortiva Institute-Scottsdale",3,7936,5427,NA,NA,NA,NA,NA,NA,NA,NA,NA,7600,NA,NA,25200,30200,31800,NA,NA,NA,NA,NA,NA,NA,NA,0.207547169811321,0.050314465408805
"113",113,"Pima Community College",1,1742,3914,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,4500,3500,31500,36900,44300,NA,NA,NA,NA,NA,NA,NA,NA,0.288939051918736,0.167042889390519
"114",114,"Pima Medical Institute-Tucson",3,6165,2713,0.669,0.4684,0.6742,0.8148,0.5806,NA,0.6538,NA,0.6585,8445,8708,9298,27100,33800,37000,0.2006,-0.00519999999999998,-0.1458,0.0884,NA,0.0152,NA,0.0105000000000001,0.267567567567568,0.0864864864864865
"115",115,"Pima Medical Institute-Albuquerque",3,5857,3033,NA,NA,NA,NA,NA,NA,NA,NA,NA,8445,8708,9298,27100,33800,37000,NA,NA,NA,NA,NA,NA,NA,NA,0.267567567567568,0.0864864864864865
"116",116,"Prescott College",2,17501,7738,0.3846,0,0,0,0,NA,0.3333,NA,0,18000,15750,14000,31900,36300,35800,0.3846,0.3846,0.3846,0.3846,NA,0.0513,NA,0.3846,0.108938547486034,-0.0139664804469274
"117",117,"Refrigeration School Inc",3,10449,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9744,8232,35800,40200,50500,NA,NA,NA,NA,NA,NA,NA,NA,0.291089108910891,0.203960396039604
"118",118,"Rio Salado College",1,2724,2173,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,3500,3500,36100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"Roberto-Venn School of Luthiery",3,10458,9626,NA,NA,NA,NA,NA,NA,NA,NA,NA,7307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",120,"Hair Academy of Safford",3,3587,6080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,"Scottsdale Community College",1,2294,6584,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,3500,3500,37200,42600,48400,NA,NA,NA,NA,NA,NA,NA,NA,0.231404958677686,0.119834710743802
"122",122,"South Mountain Community College",1,982,5705,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,4981.5,5250,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",123,"Arizona Christian University",2,9345,6537,0.614,0.5,0.5,1,1,NA,NA,NA,NA,11108,9500,12000,NA,33200,NA,0.114,0.114,-0.386,-0.386,NA,NA,NA,NA,NA,NA
"124",124,"Tucson College",3,12540,3443,NA,NA,NA,NA,NA,NA,NA,NA,NA,9498,9499,5500,22700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,"Universal Technical Institute of Arizona Inc",3,12401,3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,14750,14243,12000,42800,45700,48300,NA,NA,NA,NA,NA,NA,NA,NA,0.113871635610766,0.0538302277432712
"126",126,"Western International University",3,8252,3306,0.0238,0,0.0909,0,0,NA,NA,0,0,18847,21517.5,20179,41900,55500,66900,0.0238,-0.0671,0.0238,0.0238,NA,NA,0.0238,0.0238,0.373692077727952,0.170403587443946
"127",127,"Empire Beauty School-NW Phoenix",3,8236,7609,NA,NA,NA,NA,NA,NA,NA,NA,NA,6820.5,6968,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,"Yavapai College",1,2060,5818,NA,NA,NA,NA,NA,NA,NA,NA,NA,5593,4754,4943,30500,36300,45800,NA,NA,NA,NA,NA,NA,NA,NA,0.334061135371179,0.207423580786026
"129",129,"University of Arkansas at Little Rock",1,6640,7485,0.3246,0.1567,0.3462,0.2727,0.3,NA,0.2857,NA,0.5,12750,12523,10500,34400,39400,43700,0.1679,-0.0216,0.0519,0.0246,NA,0.0389,NA,-0.1754,0.212814645308924,0.0983981693363844
"130",130,"University of Arkansas for Medical Sciences",1,12646,62580,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,12500,7500,62000,68000,80900,NA,NA,NA,NA,NA,NA,NA,NA,0.233621755253399,0.159456118665019
"131",131,"ABC Beauty College Inc",3,6541,10718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,"Arkansas Baptist College",2,8166,4684,0.2,0.1905,NA,NA,NA,NA,NA,0.3333,NA,10250,9500,9500,NA,NA,NA,0.00950000000000001,NA,NA,NA,NA,NA,-0.1333,NA,NA,NA
"133",133,"Arkansas Beauty School-Little Rock",3,5590,3417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,"Arkansas Beauty College",3,7668,3272,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",135,"Lyon College",2,9009,10540,0.506,0.3333,NA,0,0.3333,NA,NA,0,0.7143,15000,11350,10000,36700,40400,46800,0.1727,NA,0.506,0.1727,NA,NA,0.506,-0.2083,0.215811965811966,0.136752136752137
"136",136,"Arkansas College of Barbering and Hair Design",3,8127,1702,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",137,"Arthur's Beauty College Inc-Fort Smith",3,11169,5724,NA,NA,NA,NA,NA,NA,NA,NA,NA,6750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",138,"University of Arkansas",1,7143,9069,0.6365,0.4364,0.6064,0.6707,0.5484,1,0.5,0.7222,0.5385,14748.5,14648.5,13925,45800,50300,51100,0.2001,0.0300999999999999,-0.0342,0.0881,-0.3635,0.1365,-0.0857,0.098,0.103718199608611,0.0156555772994129
"139",139,"University of Arkansas at Pine Bluff",1,2164,7827,0.3636,0.2663,0.3333,NA,NA,NA,NA,0.6,0,12380,16023,15000,28100,32400,35300,0.0973,0.0303,NA,NA,NA,NA,-0.2364,0.3636,0.203966005665722,0.0821529745042493
"140",140,"Arkansas State University-Beebe",1,1750,4949,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,4769.5,5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",141,"Arkansas State University-Main Campus",1,3633,5358,0.4754,0.2775,0.3462,0.3333,0.5714,NA,NA,0.1,0.2946,12763,11993,11000,31000,37800,44000,0.1979,0.1292,0.1421,-0.096,NA,NA,0.3754,0.1808,0.295454545454545,0.140909090909091
"142",142,"Arkansas Tech University",1,3668,4516,0.4678,0.2533,0.2889,0.2857,0.36,NA,NA,0.4,NA,9975.5,11000,9500,34400,37700,42300,0.2145,0.1789,0.1821,0.1078,NA,NA,0.0678,NA,0.186761229314421,0.108747044917258
"143",143,"University of Arkansas at Monticello",1,2942,7186,0.3435,0.1304,0.6,0,0.1429,NA,NA,NA,NA,7065,7937,7770,31500,36500,40600,0.2131,-0.2565,0.3435,0.2006,NA,NA,NA,NA,0.224137931034483,0.100985221674877
"144",144,"Arthur's Beauty College Inc-Jacksonville",3,10747,5534,NA,NA,NA,NA,NA,NA,NA,NA,NA,8373.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",145,"Baptist Health College-Little Rock",2,4441,5108,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,13585,10415,43900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",146,"Black River Technical College",1,1435,4328,NA,NA,NA,NA,NA,NA,NA,NA,NA,7790,5990,6000,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",147,"University of Central Arkansas",1,4697,6788,0.4718,0.2914,0.4211,0.5926,0.4118,NA,NA,0.5904,0.5273,10661.5,11500,11000,34900,41400,45800,0.1804,0.0507,-0.1208,0.06,NA,NA,-0.1186,-0.0555,0.237991266375546,0.0960698689956332
"148",148,"Central Baptist College",2,8783,5018,0.3448,0,0,NA,0,NA,1,0.6667,NA,9951,13273,8750,NA,36600,NA,0.3448,0.3448,NA,0.3448,NA,-0.6552,-0.3219,NA,NA,NA
"149",149,"Cossatot Community College of the University of Arkansas",1,1165,5918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",150,"Crowley's Ridge College",2,7679,3030,0.1887,0.2222,NA,NA,NA,NA,NA,NA,NA,9069.5,12000,5500,NA,NA,NA,-0.0335,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",151,"Crowley's Ridge Technical Institute",1,439,7567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",152,"East Arkansas Community College",1,1538,4156,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,NA,NA,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",153,"Eastern College of Health Vocations-Little Rock",3,5332,1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,3412,4252.5,4263,18500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",154,"Imagine-Paul Mitchell Partner School",3,6347,3538,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9833,9833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",155,"National Park Community College",1,1809,5816,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,8000,5500,25800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",156,"University of Arkansas Community College-Batesville",1,1221,6530,NA,NA,NA,NA,NA,NA,NA,NA,NA,8250,6063,5143,25600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",157,"Harding University",2,12463,9684,0.6299,0.3929,0.4231,NA,0.3333,NA,0.6667,0.8529,0.75,17385,19786,21000,44400,40500,45100,0.237,0.2068,NA,0.2966,NA,-0.0367999999999999,-0.223,-0.1201,0.0155210643015521,0.1019955654102
"158",158,"Henderson State University",1,3067,6495,0.4031,0.2431,0.4,0.2,0.3333,NA,NA,0.2174,0.3,9188,11000,9500,35600,38800,41000,0.16,0.00309999999999999,0.2031,0.0698,NA,NA,0.1857,0.1031,0.131707317073171,0.0536585365853659
"159",159,"Hendrix College",2,11902,11426,0.7407,0.4706,0.75,0.5,0.6667,NA,0.5714,0.8571,0.875,21250,21564,15750,46400,46000,46600,0.2701,-0.00929999999999997,0.2407,0.0740000000000001,NA,0.1693,-0.1164,-0.1343,0.00429184549356223,0.0128755364806867
"160",160,"Hot Springs Beauty College",3,9965,5496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",161,"Jefferson Regional Medical Center School of Nursing",2,3541,4721,NA,NA,NA,NA,NA,NA,NA,NA,NA,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",162,"John Brown University",2,10593,7556,0.592,0.4,0.7778,0.25,0.25,NA,1,0.7241,NA,17500,20000,18588,43700,53100,62500,0.192,-0.1858,0.342,0.342,NA,-0.408,-0.1321,NA,0.3008,0.1504
"163",163,"Lees School of Cosmetology",3,5087,5915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",164,"Career Academy of Hair Design",3,11468,3470,NA,NA,NA,NA,NA,NA,NA,NA,NA,6365,6365,4565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",165,"Academy of Salon and Spa",3,8019,5929,NA,NA,NA,NA,NA,NA,NA,NA,NA,6521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",166,"Arkansas State University Mid-South",1,7747,12448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",167,"Arkansas Northeastern College",1,1285,9608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",168,"Margaret's Hair Academy Inc",3,5339,4544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",169,"New Tyler Barber College Inc",3,4526,1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",170,"North Arkansas College",1,942,5405,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,7985,4500,26000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",171,"Northwest Technical Institute",1,2575,9710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,"Ouachita Baptist University",2,10798,8934,0.6023,0.3871,0.3333,NA,0.8333,NA,NA,0.5455,NA,11035,19000,14850,41400,37700,45600,0.2152,0.269,NA,-0.231,NA,NA,0.0568,NA,0.0921052631578947,0.173245614035088
"173",173,"College of the Ouachitas",1,1606,5258,NA,NA,NA,NA,NA,NA,NA,NA,NA,6869.5,5437.5,4000,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",174,"Ozarka College",1,827,3782,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9225,4700,26800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,"University of the Ozarks",2,10822,9797,0.4605,0.375,0.3333,1,0.3333,NA,0,0.8235,0,9500,13000,12000,29100,38400,45000,0.0855,0.1272,-0.5395,0.1272,NA,0.4605,-0.363,0.4605,0.353333333333333,0.146666666666667
"176",176,"University of Arkansas Community College-Morrilton",1,1911,3836,NA,NA,NA,NA,NA,NA,NA,NA,NA,4750,5372.5,4463,27700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",177,"Philander Smith College",2,7317,6539,0,0.3798,0,NA,NA,NA,NA,0.7143,0,19000,22000,23681,24900,NA,NA,-0.3798,0,NA,NA,NA,NA,-0.7143,0,NA,NA
"178",178,"Phillips Community College of the University of Arkansas",1,431,6863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",179,"Southeast Arkansas College",1,1884,4811,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,4436.5,3500,25700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",180,"Professional Cosmetology Education Center",3,5258,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,8177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",181,"Pulaski Technical College",1,1450,3618,NA,NA,NA,NA,NA,NA,NA,NA,NA,11318,10260,6500,27600,35600,36600,NA,NA,NA,NA,NA,NA,NA,NA,0.245901639344262,0.0273224043715847
"182",182,"University of Arkansas Community College-Hope",1,1197,5506,NA,NA,NA,NA,NA,NA,NA,NA,NA,2625,NA,NA,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",183,"Rich Mountain Community College",1,1318,4541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",184,"Paul Mitchell the School-Arkansas",3,7790,4460,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9833,8285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",185,"Searcy Beauty College",3,1384,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",186,"Shorter College",2,5005,1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",187,"Williams Baptist College",2,6711,5047,0.4318,0,0,0,0,NA,NA,0.3333,NA,10000,10000,8125,32300,36700,34100,0.4318,0.4318,0.4318,0.4318,NA,NA,0.0985,NA,0.0527859237536657,-0.0762463343108504
"188",188,"South Arkansas Community College",1,1636,6799,NA,NA,NA,NA,NA,NA,NA,NA,NA,8250,7000,5500,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",189,"Southern Arkansas University Main Campus",1,3602,6436,0.3665,0.2022,0.4545,0.2,0.5,NA,NA,0.1591,NA,9500,10000,9500,35100,37900,45700,0.1643,-0.088,0.1665,-0.1335,NA,NA,0.2074,NA,0.231947483588621,0.170678336980306
"190",190,"Southern Arkansas University Tech",1,2349,6710,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,5500,5500,27400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",191,"Velvatex College of Beauty Culture",3,390,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",192,"University of Arkansas-Fort Smith",1,2356,5534,0.2556,0.1818,0.2615,0.3125,0.3019,NA,NA,0.5,NA,6625,7520,6000,31100,35400,42800,0.0738,-0.00590000000000002,-0.0569,-0.0463,NA,NA,-0.2444,NA,0.273364485981308,0.172897196261682
"193",193,"Academy of Art University",3,25086,12136,0.2595,0.1746,0.1875,0.3956,0.3333,NA,NA,0.5676,0.2746,14245,15500,18096,39800,48200,48100,0.0849,0.072,-0.1361,-0.0738,NA,NA,-0.3081,-0.0151,0.172557172557173,-0.00207900207900208
"194",194,"ITT Technical Institute-Rancho Cordova",3,18433,3361,0.3333,0.2692,0.55,0.2727,0,NA,NA,NA,NA,12667,17014,17000,38200,46300,47200,0.0641,-0.2167,0.0606,0.3333,NA,NA,NA,NA,0.190677966101695,0.0190677966101695
"195",195,"Academy of Chinese Culture and Health Sciences",2,7414,4146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",196,"The Academy of Radio and TV Broadcasting",3,12261,1471,NA,NA,NA,NA,NA,NA,NA,NA,NA,9300,NA,NA,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",197,"Avalon School of Cosmetology-Alameda",3,7387,3878,NA,NA,NA,NA,NA,NA,NA,NA,NA,6835.5,7000,6273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",198,"College of Alameda",1,1067,3772,NA,NA,NA,NA,NA,NA,NA,NA,NA,6300,NA,NA,35800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",199,"Allan Hancock College",1,678,4454,NA,NA,NA,NA,NA,NA,NA,NA,NA,6417,5500,5500,32900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",200,"American Academy of Dramatic Arts-Los Angeles",2,23615,6652,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000,9500,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",201,"American Baptist Seminary of the West",2,11239,17070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",202,"American Film Institute Conservatory",2,26320,6831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",203,"American Beauty College",3,6960,2623,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",204,"American Career College-Los Angeles",3,11851,3829,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,9500,30700,37100,42400,NA,NA,NA,NA,NA,NA,NA,NA,0.275943396226415,0.125
"205",205,"American Conservatory Theater",2,25044,17174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",206,"American River College",1,451,3481,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000,7293.5,5429.5,32300,43300,47900,NA,NA,NA,NA,NA,NA,NA,NA,0.325678496868476,0.0960334029227557
"207",207,"Antelope Valley College",1,350,3710,NA,NA,NA,NA,NA,NA,NA,NA,NA,8439.5,7500,5500,30400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",208,"Art Center College of Design",2,30191,19131,0.4375,0,0.8571,0.7931,NA,NA,NA,0.6923,NA,31210,29250,27750,57400,63900,65100,0.4375,-0.4196,-0.3556,NA,NA,NA,-0.2548,NA,0.118279569892473,0.0184331797235023
"209",209,"Associated Technical College-Los Angeles",3,15296,5156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",210,"Associated Technical College-San Diego",3,15755,5107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",211,"Azusa Pacific University",2,18423,10128,0.7072,0.5217,0.5875,0.6747,0.4,NA,0.58,0.6,0.7632,18330,18528,18500,48900,53900,54800,0.1855,0.1197,0.0325000000000001,0.3072,NA,0.1272,0.1072,-0.0559999999999999,0.107664233576642,0.0164233576642336
